Entry,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,SEP,SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y,Label
A0A8B6REL3,6.86,3.2,5.48,4.79,4.95,5.81,2.04,4.86,6.12,9.41,2.37,5.43,3.83,3.37,3.42,6.41,7.4,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.208,0.333,0.138,0.056,0.384,0.347,0.27,0.446,0.29,0.268,0.223,0.528,0.472,-0.044,-0.5,-0.179,-0.439,0.001,4.191,-0.265,-0.159,-0.23,-0.21,-0.215,-0.238,-0.115,-0.212,-0.247,-0.321,-0.128,-0.228,-0.18,-0.165,-0.167,-0.254,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A886NFF6,4.73,2.55,4.73,4,5.09,5.09,3.27,7.64,4,11.27,1.45,2.91,4,2.91,2.18,8,8.73,9.09,2.18,6.18,0.095,0.087,0.818,0.284,0.505,0.418,0.04,0.135,0.087,0.095,0.818,0.567,0.164,0.335,0.167,0.04,0.338,0.415,0.247,0.476,0.225,0.316,0.204,0.498,0.502,-0.495,-0.54,-0.222,-0.423,0.024,4.133,-0.208,-0.135,-0.208,-0.186,-0.219,-0.219,-0.161,-0.283,-0.186,-0.355,-0.089,-0.148,-0.186,-0.148,-0.12,-0.292,-0.307,-0.314,-0.12,-0.248,POSITIVE
A0A8F0ZUZ6,5.47,2.92,5.84,2.92,6.2,5.11,2.55,6.2,4.38,12.04,1.46,4.01,4.01,3.65,1.82,6.93,8.03,8.03,2.19,6.2,0.088,0.088,0.825,0.277,0.507,0.409,0.04,0.146,0.088,0.088,0.825,0.566,0.168,0.325,0.15,0.044,0.343,0.398,0.259,0.482,0.248,0.292,0.204,0.504,0.496,-0.482,-0.463,-0.141,-0.424,0.015,4.146,-0.229,-0.149,-0.239,-0.149,-0.249,-0.219,-0.135,-0.249,-0.198,-0.368,-0.089,-0.186,-0.186,-0.174,-0.105,-0.267,-0.292,-0.292,-0.121,-0.249,POSITIVE
A0A8B6RSU4,4.36,2.55,4.73,4,5.45,5.09,2.91,7.64,3.64,10.55,1.45,3.27,4.36,3.27,2.18,8.36,8.73,9.09,2.18,6.18,0.087,0.087,0.825,0.291,0.502,0.411,0.044,0.138,0.087,0.087,0.825,0.564,0.164,0.342,0.171,0.04,0.324,0.418,0.258,0.469,0.233,0.32,0.204,0.505,0.495,-0.477,-0.521,-0.192,-0.447,0.016,4.14,-0.197,-0.135,-0.208,-0.186,-0.229,-0.219,-0.148,-0.283,-0.174,-0.342,-0.089,-0.161,-0.197,-0.161,-0.12,-0.299,-0.307,-0.314,-0.12,-0.248,POSITIVE
A0A7H2DRZ7,4.73,2.55,4.73,4,5.09,5.09,3.27,7.64,4,10.91,1.45,2.91,4.36,2.91,2.18,8,8.73,9.09,2.18,6.18,0.095,0.087,0.818,0.284,0.505,0.418,0.044,0.135,0.087,0.095,0.818,0.567,0.167,0.335,0.167,0.04,0.335,0.415,0.251,0.473,0.229,0.32,0.204,0.502,0.498,-0.485,-0.535,-0.209,-0.418,0.028,4.138,-0.208,-0.135,-0.208,-0.186,-0.219,-0.219,-0.161,-0.283,-0.186,-0.349,-0.089,-0.148,-0.197,-0.148,-0.12,-0.292,-0.307,-0.314,-0.12,-0.248,POSITIVE
A0A8A5XSC1,6.85,3.19,5.5,4.79,4.89,5.79,2.04,4.84,6.1,9.46,2.37,5.41,3.83,3.37,3.45,6.41,7.43,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.107,0.103,0.116,0.781,0.524,0.209,0.333,0.138,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.222,0.529,0.471,-0.042,-0.5,-0.181,-0.439,0.002,4.191,-0.265,-0.158,-0.23,-0.21,-0.213,-0.238,-0.115,-0.211,-0.246,-0.322,-0.128,-0.228,-0.18,-0.165,-0.168,-0.254,-0.279,-0.301,-0.072,-0.208,POSITIVE
A0A8B1JVT6,6.99,3.13,4.79,5.43,4.72,5.99,1.7,4.88,6.27,9.88,2.38,5.29,3.72,3.41,3,6.67,7.83,8.44,1.04,4.43,0.11,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.11,0.788,0.53,0.2,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.529,0.471,-0.063,-0.565,-0.201,-0.479,0.008,4.172,-0.268,-0.157,-0.21,-0.228,-0.208,-0.243,-0.1,-0.213,-0.25,-0.33,-0.128,-0.224,-0.177,-0.166,-0.152,-0.261,-0.288,-0.301,-0.069,-0.199,POSITIVE
A0A6G6CXB7,8.83,0,5.73,2.86,3.1,10.26,0.95,3.34,7.4,6.44,1.67,5.25,6.44,8.35,6.92,9.07,7.64,1.91,1.19,2.63,0.153,0.086,0.761,0.277,0.432,0.372,0.064,0.069,0.086,0.153,0.761,0.406,0.27,0.439,0.167,0.017,0.434,0.198,0.368,0.351,0.36,0.284,0.282,0.551,0.449,0.706,-0.447,-0.278,-0.403,0.223,4.009,-0.309,0,-0.236,-0.147,-0.155,-0.337,-0.064,-0.164,-0.278,-0.255,-0.099,-0.223,-0.255,-0.299,-0.267,-0.314,-0.283,-0.109,-0.076,-0.138,POSITIVE
A0A7T8KZF1,6.22,3.15,4.8,3.78,6.06,6.54,1.42,6.06,4.8,8.5,1.1,6.85,4.49,4.88,3.31,7.72,7.56,7.56,0.94,4.25,0.095,0.086,0.819,0.276,0.475,0.394,0.045,0.113,0.086,0.095,0.819,0.517,0.209,0.353,0.153,0.043,0.34,0.356,0.304,0.45,0.296,0.265,0.236,0.549,0.451,-0.026,-0.513,-0.131,-0.516,0.003,4.161,-0.249,-0.157,-0.21,-0.179,-0.245,-0.257,-0.087,-0.245,-0.21,-0.302,-0.072,-0.265,-0.201,-0.213,-0.163,-0.285,-0.282,-0.282,-0.064,-0.194,POSITIVE
A0A8B1JZV9,7.01,3.16,4.79,5.43,4.79,5.97,1.7,4.88,6.27,9.83,2.38,5.29,3.72,3.43,2.97,6.65,7.81,8.44,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.103,0.102,0.109,0.788,0.531,0.2,0.341,0.145,0.055,0.39,0.346,0.264,0.451,0.289,0.267,0.228,0.528,0.472,-0.065,-0.563,-0.198,-0.478,0.007,4.173,-0.269,-0.157,-0.21,-0.228,-0.21,-0.243,-0.1,-0.213,-0.25,-0.329,-0.128,-0.224,-0.177,-0.167,-0.151,-0.26,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A6H0EZ09,6.99,3.13,4.79,5.43,4.74,5.99,1.7,4.9,6.27,9.85,2.36,5.29,3.72,3.43,2.97,6.67,7.83,8.44,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.2,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.529,0.471,-0.063,-0.565,-0.2,-0.48,0.008,4.172,-0.268,-0.157,-0.21,-0.228,-0.209,-0.243,-0.1,-0.213,-0.25,-0.329,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.288,-0.301,-0.069,-0.199,POSITIVE
A0A7U3MRE9,7.01,3.13,4.79,5.43,4.72,5.99,1.68,4.9,6.27,9.88,2.38,5.29,3.72,3.43,2.97,6.67,7.81,8.42,1.04,4.45,0.109,0.102,0.789,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.789,0.53,0.199,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.528,0.472,-0.065,-0.565,-0.2,-0.48,0.008,4.172,-0.269,-0.157,-0.21,-0.228,-0.208,-0.243,-0.099,-0.213,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.2,POSITIVE
A0A7U3H6R4,6.99,3.13,4.74,5.43,4.72,6.02,1.7,4.9,6.24,9.88,2.38,5.29,3.72,3.43,3,6.67,7.83,8.42,1.04,4.45,0.109,0.102,0.789,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.789,0.53,0.2,0.341,0.145,0.055,0.39,0.345,0.264,0.451,0.289,0.268,0.228,0.528,0.472,-0.065,-0.566,-0.201,-0.478,0.008,4.172,-0.268,-0.157,-0.209,-0.228,-0.208,-0.244,-0.1,-0.213,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.152,-0.261,-0.288,-0.301,-0.069,-0.2,POSITIVE
A0A6M3T200,8.83,0,5.73,2.86,3.1,10.26,0.95,3.34,7.4,6.44,1.67,5.25,6.92,8.35,6.92,8.59,7.64,1.91,1.19,2.63,0.153,0.086,0.761,0.272,0.437,0.377,0.069,0.069,0.086,0.153,0.761,0.411,0.274,0.434,0.162,0.017,0.434,0.198,0.368,0.351,0.365,0.284,0.277,0.551,0.449,0.687,-0.441,-0.275,-0.394,0.229,4.011,-0.309,0,-0.236,-0.147,-0.155,-0.337,-0.064,-0.164,-0.278,-0.255,-0.099,-0.223,-0.267,-0.299,-0.267,-0.304,-0.283,-0.109,-0.076,-0.138,POSITIVE
A0A6H0C4T4,7.44,4.96,1.65,6.61,8.26,3.31,2.48,6.61,5.79,13.22,0.83,1.65,4.96,4.13,4.13,4.96,8.26,6.61,0,4.13,0.124,0.083,0.793,0.264,0.512,0.421,0.05,0.124,0.083,0.124,0.793,0.612,0.19,0.289,0.132,0.058,0.446,0.388,0.165,0.504,0.248,0.256,0.207,0.438,0.562,-0.513,-0.528,-0.306,-0.379,0.069,4.037,-0.279,-0.215,-0.098,-0.259,-0.297,-0.163,-0.132,-0.259,-0.238,-0.386,-0.057,-0.098,-0.215,-0.19,-0.19,-0.215,-0.297,-0.259,0,-0.19,POSITIVE
A0A7D7Z3V2,7.69,7.69,0,3.85,11.54,3.85,3.85,7.69,3.85,11.54,3.85,0,0,7.69,0,7.69,11.54,7.69,0,0,0.077,0.038,0.885,0.346,0.538,0.385,0,0.115,0.038,0.077,0.885,0.692,0.077,0.346,0.192,0.115,0.423,0.462,0.115,0.577,0.154,0.269,0.269,0.462,0.538,-0.719,-0.91,-0.178,-0.393,-0.05,3.69,-0.285,-0.285,0,-0.181,-0.359,-0.181,-0.181,-0.285,-0.181,-0.359,-0.181,0,0,-0.285,0,-0.285,-0.359,-0.285,0,0,POSITIVE
A0A7U1MAG5,6.86,3.18,5.47,4.79,4.92,5.82,2.04,4.83,6.12,9.43,2.37,5.41,3.85,3.37,3.44,6.43,7.43,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.107,0.103,0.116,0.781,0.524,0.209,0.333,0.139,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.043,-0.501,-0.18,-0.439,0.002,4.191,-0.265,-0.158,-0.229,-0.21,-0.214,-0.239,-0.115,-0.211,-0.247,-0.321,-0.128,-0.228,-0.181,-0.165,-0.167,-0.254,-0.279,-0.301,-0.072,-0.208,POSITIVE
A0A8B1JK16,7.01,3.13,4.79,5.43,4.7,5.99,1.7,4.9,6.27,9.9,2.38,5.29,3.72,3.43,2.97,6.67,7.81,8.42,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.4,0.037,0.102,0.102,0.109,0.788,0.53,0.2,0.341,0.145,0.055,0.391,0.344,0.265,0.451,0.289,0.267,0.228,0.528,0.472,-0.064,-0.566,-0.201,-0.479,0.009,4.172,-0.269,-0.157,-0.21,-0.228,-0.207,-0.243,-0.1,-0.213,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A8B6RP06,6.21,3.14,4.79,3.69,6.05,6.52,1.34,5.97,4.79,8.48,1.1,6.91,4.56,4.95,3.3,7.78,7.62,7.62,0.94,4.24,0.094,0.085,0.821,0.277,0.474,0.394,0.046,0.112,0.085,0.094,0.821,0.517,0.209,0.353,0.154,0.042,0.339,0.356,0.306,0.449,0.297,0.266,0.236,0.551,0.449,-0.024,-0.515,-0.13,-0.519,0.004,4.158,-0.249,-0.157,-0.21,-0.176,-0.245,-0.257,-0.083,-0.243,-0.21,-0.302,-0.072,-0.266,-0.203,-0.215,-0.162,-0.287,-0.283,-0.283,-0.063,-0.193,POSITIVE
A0A8B1KIC0,7.44,4.96,1.65,6.61,8.26,3.31,2.48,6.61,5.79,12.4,0.83,1.65,4.96,4.13,4.13,5.79,8.26,6.61,0,4.13,0.124,0.083,0.793,0.273,0.504,0.413,0.05,0.124,0.083,0.124,0.793,0.603,0.19,0.298,0.14,0.058,0.438,0.388,0.174,0.496,0.248,0.264,0.215,0.446,0.554,-0.458,-0.526,-0.285,-0.385,0.067,4.047,-0.279,-0.215,-0.098,-0.259,-0.297,-0.163,-0.132,-0.259,-0.238,-0.373,-0.057,-0.098,-0.215,-0.19,-0.19,-0.238,-0.297,-0.259,0,-0.19,POSITIVE
A0A7D8A8J2,3.31,5.79,5.79,4.96,6.61,4.13,3.31,8.26,4.13,8.26,0.83,1.65,5.79,4.96,3.31,7.44,4.13,10.74,0.83,5.79,0.107,0.107,0.785,0.281,0.488,0.405,0.058,0.132,0.107,0.107,0.785,0.545,0.182,0.314,0.116,0.066,0.331,0.421,0.248,0.479,0.273,0.273,0.207,0.488,0.512,-0.371,-0.427,-0.089,-0.411,0.012,4.129,-0.163,-0.238,-0.238,-0.215,-0.259,-0.19,-0.163,-0.297,-0.19,-0.297,-0.057,-0.098,-0.238,-0.215,-0.163,-0.279,-0.19,-0.346,-0.057,-0.238,POSITIVE
A0A8F0ZU63,5.74,4.92,3.28,4.92,7.38,3.28,3.28,5.74,2.46,13.11,0.82,1.64,5.74,3.28,5.74,6.56,9.02,9.02,0,4.1,0.115,0.082,0.803,0.279,0.508,0.426,0.057,0.115,0.082,0.115,0.803,0.615,0.189,0.303,0.156,0.057,0.393,0.402,0.205,0.492,0.213,0.295,0.205,0.492,0.508,-0.475,-0.551,-0.25,-0.385,0.072,4.04,-0.237,-0.214,-0.162,-0.214,-0.277,-0.162,-0.162,-0.237,-0.131,-0.384,-0.057,-0.097,-0.237,-0.162,-0.237,-0.258,-0.313,-0.313,0,-0.189,POSITIVE
A0A8F0ZUF9,6.73,3.77,5.79,3.8,5.82,6.73,2.08,4.6,6.05,8.58,2.1,5.46,3.37,2.7,3.2,7.12,6.15,10.18,1.21,4.57,0.113,0.096,0.791,0.243,0.493,0.402,0.034,0.116,0.096,0.113,0.791,0.525,0.202,0.323,0.133,0.059,0.352,0.363,0.285,0.476,0.272,0.254,0.243,0.553,0.447,-0.073,-0.546,-0.117,-0.416,-0.03,4.173,-0.262,-0.178,-0.238,-0.179,-0.239,-0.262,-0.116,-0.204,-0.245,-0.304,-0.117,-0.229,-0.165,-0.141,-0.159,-0.271,-0.247,-0.336,-0.077,-0.203,POSITIVE
A0A7T8EXZ4,7.01,3.13,4.79,5.43,4.74,5.99,1.73,4.9,6.27,9.88,2.38,5.24,3.72,3.41,2.97,6.7,7.81,8.42,1.04,4.43,0.11,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.11,0.788,0.531,0.199,0.341,0.145,0.055,0.391,0.345,0.264,0.451,0.289,0.268,0.228,0.528,0.472,-0.065,-0.565,-0.2,-0.478,0.009,4.172,-0.269,-0.157,-0.21,-0.228,-0.209,-0.243,-0.101,-0.213,-0.25,-0.33,-0.128,-0.223,-0.177,-0.166,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A6N1WH96,4.73,2.55,4.73,4,5.45,5.09,2.91,7.64,4,10.91,1.45,2.91,4.36,3.27,2.18,7.64,8.73,9.09,2.18,6.18,0.091,0.087,0.822,0.284,0.509,0.418,0.044,0.138,0.087,0.091,0.822,0.571,0.164,0.335,0.164,0.04,0.335,0.418,0.247,0.476,0.233,0.313,0.2,0.498,0.502,-0.512,-0.529,-0.216,-0.43,0.026,4.141,-0.208,-0.135,-0.208,-0.186,-0.229,-0.219,-0.148,-0.283,-0.186,-0.349,-0.089,-0.148,-0.197,-0.161,-0.12,-0.283,-0.307,-0.314,-0.12,-0.248,POSITIVE
A0A897FCY3,6.86,3.18,5.48,4.79,4.92,5.81,2.04,4.85,6.1,9.41,2.37,5.41,3.85,3.37,3.44,6.44,7.43,8.43,1.1,4.72,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.107,0.103,0.116,0.781,0.524,0.208,0.333,0.139,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.529,0.471,-0.042,-0.501,-0.18,-0.439,0.002,4.191,-0.265,-0.158,-0.23,-0.21,-0.214,-0.238,-0.115,-0.212,-0.246,-0.321,-0.128,-0.228,-0.181,-0.165,-0.167,-0.255,-0.279,-0.301,-0.072,-0.208,POSITIVE
A0A6B9UYP2,9.47,1.05,3.16,2.11,3.16,5.26,3.16,6.32,7.37,6.32,3.16,6.32,2.11,4.21,5.26,7.37,10.53,7.37,1.05,5.26,0.158,0.053,0.789,0.284,0.442,0.368,0.021,0.095,0.053,0.158,0.789,0.505,0.242,0.326,0.179,0.042,0.411,0.347,0.242,0.4,0.253,0.316,0.232,0.526,0.474,0.139,-0.498,-0.414,-0.273,0.009,4.116,-0.322,-0.069,-0.157,-0.117,-0.157,-0.224,-0.157,-0.252,-0.277,-0.252,-0.157,-0.252,-0.117,-0.192,-0.224,-0.277,-0.342,-0.277,-0.069,-0.224,POSITIVE
A0A7D5FY24,4.13,5.79,6.61,4.13,6.61,4.13,3.31,8.26,4.13,8.26,0.83,1.65,5.79,4.96,3.31,7.44,4.13,9.92,0.83,5.79,0.107,0.107,0.785,0.281,0.488,0.405,0.058,0.132,0.107,0.107,0.785,0.545,0.182,0.314,0.116,0.066,0.331,0.413,0.256,0.479,0.273,0.273,0.215,0.496,0.504,-0.34,-0.419,-0.055,-0.401,0.031,4.138,-0.19,-0.238,-0.259,-0.19,-0.259,-0.19,-0.163,-0.297,-0.19,-0.297,-0.057,-0.098,-0.238,-0.215,-0.163,-0.279,-0.19,-0.331,-0.057,-0.238,POSITIVE
A0A6V7AMQ7,8.83,0,5.73,2.86,3.1,10.26,0.95,3.34,7.4,6.44,1.67,5.25,6.68,8.35,6.92,8.83,7.64,1.91,1.19,2.63,0.153,0.086,0.761,0.274,0.434,0.375,0.067,0.069,0.086,0.153,0.761,0.408,0.272,0.437,0.165,0.017,0.434,0.198,0.368,0.351,0.363,0.284,0.279,0.551,0.449,0.696,-0.444,-0.277,-0.398,0.226,4.01,-0.309,0,-0.236,-0.147,-0.155,-0.337,-0.064,-0.164,-0.278,-0.255,-0.099,-0.223,-0.261,-0.299,-0.267,-0.309,-0.283,-0.109,-0.076,-0.138,POSITIVE
A0A8F0ZU49,7.38,4.92,1.64,6.56,7.38,3.28,4.1,7.38,4.92,13.93,0.82,1.64,4.92,3.28,4.92,5.74,8.2,4.92,0,4.1,0.139,0.082,0.779,0.262,0.5,0.418,0.049,0.115,0.082,0.139,0.779,0.598,0.205,0.287,0.139,0.057,0.459,0.369,0.172,0.492,0.23,0.279,0.213,0.426,0.574,-0.443,-0.489,-0.296,-0.312,0.08,4.04,-0.277,-0.214,-0.097,-0.258,-0.277,-0.162,-0.189,-0.277,-0.214,-0.396,-0.057,-0.097,-0.214,-0.162,-0.214,-0.237,-0.296,-0.214,0,-0.189,POSITIVE
A0A7U3RJ15,6.21,3.14,4.87,3.77,6.05,6.44,1.34,5.97,4.87,8.56,1.1,6.91,4.56,4.87,3.22,7.78,7.62,7.54,0.94,4.24,0.094,0.086,0.819,0.277,0.474,0.393,0.046,0.112,0.086,0.094,0.819,0.517,0.209,0.353,0.154,0.042,0.339,0.355,0.306,0.449,0.299,0.266,0.236,0.551,0.449,-0.024,-0.512,-0.127,-0.522,0.005,4.159,-0.249,-0.157,-0.212,-0.178,-0.245,-0.255,-0.083,-0.243,-0.212,-0.304,-0.072,-0.266,-0.203,-0.212,-0.16,-0.287,-0.283,-0.281,-0.063,-0.193,POSITIVE
A0A8B1JAN2,5.13,7.69,0,7.69,2.56,5.13,2.56,7.69,5.13,17.95,2.56,0,2.56,2.56,2.56,5.13,12.82,5.13,0,5.13,0.103,0.077,0.821,0.333,0.487,0.436,0.026,0.077,0.077,0.103,0.821,0.641,0.128,0.333,0.179,0.103,0.462,0.41,0.128,0.513,0.179,0.308,0.231,0.436,0.564,-0.598,-0.923,-0.376,-0.488,-0.057,3.81,-0.22,-0.285,0,-0.285,-0.136,-0.22,-0.136,-0.285,-0.22,-0.445,-0.136,0,-0.136,-0.136,-0.136,-0.22,-0.38,-0.22,0,-0.22,POSITIVE
A0A7U1M993,7.01,3.13,4.79,5.43,4.74,5.99,1.7,4.9,6.29,9.88,2.38,5.27,3.72,3.43,2.97,6.65,7.81,8.42,1.04,4.43,0.11,0.102,0.788,0.254,0.481,0.399,0.037,0.102,0.102,0.11,0.788,0.531,0.2,0.341,0.145,0.055,0.391,0.345,0.264,0.451,0.289,0.267,0.228,0.528,0.472,-0.065,-0.565,-0.201,-0.478,0.009,4.172,-0.269,-0.157,-0.21,-0.228,-0.209,-0.243,-0.1,-0.213,-0.251,-0.33,-0.128,-0.224,-0.177,-0.167,-0.151,-0.26,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A8B6RDI0,7.01,3.13,4.81,5.4,4.74,5.99,1.7,4.9,6.27,9.88,2.38,5.29,3.7,3.43,2.97,6.67,7.81,8.42,1.04,4.43,0.109,0.102,0.788,0.255,0.481,0.399,0.037,0.102,0.102,0.109,0.788,0.53,0.199,0.341,0.145,0.055,0.39,0.345,0.265,0.451,0.289,0.267,0.228,0.528,0.472,-0.064,-0.565,-0.2,-0.479,0.008,4.172,-0.269,-0.157,-0.211,-0.227,-0.209,-0.243,-0.1,-0.213,-0.25,-0.33,-0.128,-0.224,-0.176,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A7U3DVY6,8.83,0,5.49,2.86,3.1,10.26,0.95,3.58,7.4,6.44,1.67,5.25,6.68,8.35,6.92,8.83,7.4,1.91,1.19,2.86,0.153,0.084,0.764,0.274,0.437,0.377,0.067,0.072,0.084,0.153,0.764,0.408,0.272,0.432,0.162,0.017,0.434,0.2,0.365,0.353,0.36,0.284,0.279,0.547,0.453,0.67,-0.439,-0.282,-0.391,0.222,4.015,-0.309,0,-0.23,-0.147,-0.155,-0.337,-0.064,-0.172,-0.278,-0.255,-0.099,-0.223,-0.261,-0.299,-0.267,-0.309,-0.278,-0.109,-0.076,-0.147,POSITIVE
A0A8B6RAU1,8.83,0,5.73,2.86,3.1,10.02,1.19,3.34,7.64,6.44,1.67,5.25,6.44,8.35,6.92,8.83,7.64,1.91,1.19,2.63,0.158,0.086,0.757,0.274,0.43,0.37,0.064,0.069,0.086,0.158,0.757,0.406,0.274,0.434,0.165,0.017,0.439,0.198,0.363,0.348,0.363,0.284,0.277,0.547,0.453,0.707,-0.428,-0.287,-0.385,0.223,4.017,-0.309,0,-0.236,-0.147,-0.155,-0.333,-0.076,-0.164,-0.283,-0.255,-0.099,-0.223,-0.255,-0.299,-0.267,-0.309,-0.283,-0.109,-0.076,-0.138,POSITIVE
A0A7U3DVW7,6.86,3.18,5.47,4.79,4.92,5.81,2.04,4.83,6.12,9.44,2.37,5.41,3.83,3.37,3.44,6.41,7.44,8.43,1.1,4.74,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.208,0.333,0.139,0.056,0.384,0.346,0.269,0.446,0.29,0.268,0.223,0.528,0.472,-0.044,-0.5,-0.181,-0.439,0.001,4.191,-0.265,-0.158,-0.229,-0.21,-0.214,-0.238,-0.115,-0.211,-0.247,-0.321,-0.128,-0.228,-0.18,-0.165,-0.167,-0.254,-0.279,-0.301,-0.072,-0.208,POSITIVE
A0A7U0MEG5,7.01,3.13,4.79,5.43,4.72,5.99,1.7,4.9,6.27,9.88,2.38,5.29,3.72,3.43,2.97,6.67,7.79,8.44,1.04,4.43,0.109,0.102,0.788,0.254,0.481,0.4,0.037,0.102,0.102,0.109,0.788,0.53,0.2,0.341,0.145,0.055,0.391,0.345,0.265,0.451,0.289,0.267,0.228,0.528,0.472,-0.064,-0.565,-0.2,-0.479,0.009,4.172,-0.269,-0.157,-0.21,-0.228,-0.208,-0.243,-0.1,-0.213,-0.25,-0.33,-0.128,-0.224,-0.177,-0.167,-0.151,-0.261,-0.287,-0.301,-0.069,-0.199,POSITIVE
A0A7U0F9P7,6.21,3.14,4.79,3.77,6.05,6.52,1.34,5.97,4.87,8.48,1.1,6.83,4.56,4.87,3.3,7.78,7.62,7.62,0.94,4.24,0.095,0.086,0.819,0.277,0.474,0.394,0.046,0.112,0.086,0.095,0.819,0.517,0.209,0.353,0.154,0.042,0.339,0.356,0.305,0.449,0.297,0.266,0.236,0.551,0.449,-0.024,-0.516,-0.132,-0.518,0.004,4.159,-0.249,-0.157,-0.21,-0.178,-0.245,-0.257,-0.083,-0.243,-0.212,-0.302,-0.072,-0.265,-0.203,-0.212,-0.162,-0.287,-0.283,-0.283,-0.063,-0.193,POSITIVE
A0A899K9B2,6.86,3.18,5.47,4.79,4.92,5.81,2.04,4.85,6.1,9.43,2.37,5.41,3.85,3.37,3.45,6.43,7.4,8.44,1.1,4.74,0.116,0.103,0.781,0.251,0.476,0.392,0.038,0.108,0.103,0.116,0.781,0.524,0.209,0.333,0.138,0.056,0.384,0.346,0.27,0.446,0.29,0.268,0.223,0.528,0.472,-0.044,-0.5,-0.181,-0.438,0.002,4.191,-0.265,-0.158,-0.229,-0.21,-0.214,-0.238,-0.115,-0.212,-0.246,-0.321,-0.128,-0.228,-0.181,-0.165,-0.168,-0.254,-0.278,-0.301,-0.072,-0.208,POSITIVE
A0A8B1KXD0,2.5,2.5,5,7.5,15,0,2.5,12.5,0,27.5,5,2.5,0,2.5,0,5,2.5,2.5,2.5,2.5,0.025,0.125,0.85,0.15,0.675,0.45,0,0.2,0.125,0.025,0.85,0.725,0.05,0.225,0.075,0.075,0.475,0.4,0.125,0.65,0.175,0.175,0.1,0.225,0.775,-1.897,-0.24,-0.232,-0.48,0.031,3.424,-0.133,-0.133,-0.216,-0.28,-0.411,0,-0.133,-0.375,0,-0.512,-0.216,-0.133,0,-0.133,0,-0.216,-0.133,-0.133,-0.133,-0.133,POSITIVE
A0A8B1JP72,4.44,6.67,0,8.89,2.22,6.67,2.22,6.67,4.44,15.56,2.22,2.22,4.44,2.22,2.22,6.67,11.11,4.44,0,6.67,0.089,0.089,0.822,0.333,0.467,0.422,0.044,0.089,0.089,0.089,0.822,0.578,0.156,0.356,0.178,0.089,0.422,0.378,0.2,0.467,0.222,0.333,0.244,0.467,0.533,-0.376,-0.812,-0.221,-0.549,-0.073,3.913,-0.2,-0.26,0,-0.31,-0.122,-0.26,-0.122,-0.26,-0.2,-0.418,-0.122,-0.122,-0.2,-0.122,-0.122,-0.26,-0.352,-0.2,0,-0.26,POSITIVE
